Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.111-4.227.249.197-51708-443-6,4.227.249.197,443,192.168.0.111,51708,6,23/11/2024 10:29:13 pm,333,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,93093.09309309309,6006.006006006006,333.0,0.0,333.0,333.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,3003.003003003003,3003.003003003003,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51710-6,192.168.0.111,51710,192.168.0.1,53,6,23/11/2024 10:29:14 pm,7436,4,5,55.0,103.0,53.0,0.0,13.75,26.183646295604692,103.0,0.0,20.6,46.06300033649567,21247.982786444325,1210.3281334050564,929.5000000000001,1280.8810583790696,3715.0,111.0,3551.0,1183.6666666666667,1817.3619158916404,3282.0,111.0,7112.0,1778.0,1579.7295127120128,3715.0,271.0,0,0,0,0,80,124,537.9236148466917,672.4045185583648,0.0,103.0,15.8,34.841864983889074,1213.9555555555555,0,1,0,0,0,0,0,0,1.0,17.555555555555557,13.75,20.6,0,0,0,0,0,0,4,55,5,103,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51711-6,192.168.0.111,51711,192.168.0.1,53,6,23/11/2024 10:29:14 pm,26767,4,3,55.0,0.0,53.0,0.0,13.75,26.183646295604692,0.0,0.0,0.0,0.0,2054.76893189375,261.5160458773863,4461.166666666667,7734.81287211699,19903.0,31.0,22735.0,7578.333333333333,12898.685217235643,22472.0,31.0,6864.0,3432.0,760.8468965567251,3970.0,2894.0,0,0,0,0,80,84,149.43774050136363,112.07830537602271,0.0,53.0,6.875,18.650450013720466,347.8392857142858,0,1,0,0,0,0,0,0,0.0,7.857142857142857,13.75,0.0,0,0,0,0,0,0,4,55,3,0,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51711-6,192.168.0.1,53,192.168.0.111,51711,6,23/11/2024 10:29:15 pm,64795,2,2,144.0,0.0,144.0,0.0,72.0,101.82337649086284,0.0,0.0,0.0,0.0,2222.3937032178405,61.7331584227178,21598.333333333336,36726.39559408646,64005.0,105.0,790.0,790.0,0.0,790.0,790.0,64110.0,64110.0,0.0,64110.0,64110.0,0,0,0,0,40,40,30.8665792113589,30.8665792113589,0.0,144.0,28.8,64.39875775199394,4147.2,0,0,0,0,1,0,0,0,1.0,36.0,72.0,0.0,0,0,0,0,0,0,2,144,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51712-6,192.168.0.111,51712,192.168.0.1,53,6,23/11/2024 10:29:25 pm,10020,4,5,45.0,90.0,43.0,0.0,11.25,21.187653637594387,90.0,0.0,18.0,40.24922359499622,13473.05389221557,898.2035928143713,1252.5000000000002,1611.6012445479716,4652.0,48.0,5207.0,1735.6666666666667,2726.3650403666297,4881.0,48.0,9835.0,2458.75,1717.525036207624,4652.0,557.0,0,0,0,0,80,124,399.2015968063873,499.0019960079841,0.0,90.0,13.5,30.056428412053368,903.3888888888889,0,1,0,0,0,0,0,0,1.0,15.0,11.25,18.0,0,0,0,0,0,0,4,45,5,90,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51713-6,192.168.0.111,51713,192.168.0.1,53,6,23/11/2024 10:29:25 pm,11357,4,5,45.0,131.0,43.0,0.0,11.25,21.187653637594387,131.0,0.0,26.2,58.58498101049449,15497.05027736198,792.4627982741921,1419.625,2375.1801097119833,7012.0,44.0,4238.0,1412.6666666666667,2256.3989747678343,4017.0,44.0,10896.0,2724.0,3015.53411521077,7012.0,349.0,0,0,0,0,80,124,352.20568812186315,440.25711015232895,0.0,131.0,17.6,42.053405199684946,1768.4888888888888,0,1,0,0,0,0,0,0,1.0,19.555555555555557,11.25,26.2,0,0,0,0,0,0,4,45,5,131,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51714-6,192.168.0.111,51714,192.168.0.1,53,6,23/11/2024 10:29:25 pm,12160,4,5,33.0,94.0,31.0,0.0,8.25,15.195942440884233,94.0,0.0,18.8,42.03807797699605,10444.07894736842,740.1315789473683,1520.0,1950.7148140397885,4288.0,0.0,7601.0,2533.6666666666665,4285.385902498552,7482.0,54.0,11944.0,2986.0,2005.1679896374433,4288.0,0.0,0,0,0,0,80,124,328.9473684210526,411.1842105263158,0.0,94.0,12.7,30.16270692243799,909.7888888888888,0,1,0,0,0,0,0,0,1.0,14.11111111111111,8.25,18.8,0,0,0,0,0,0,4,33,5,94,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51715-6,192.168.0.111,51715,192.168.0.1,53,6,23/11/2024 10:29:25 pm,14835,4,5,33.0,135.0,31.0,0.0,8.25,15.195942440884233,135.0,0.0,27.0,60.37383539249432,11324.570273003033,606.6734074823054,1854.375,2107.76516294934,4812.0,40.0,10535.0,3511.6666666666665,5928.435066131139,10357.0,40.0,14339.0,3584.75,1965.206753329871,4863.0,703.0,0,0,0,0,80,124,269.6326255476913,337.04078193461413,0.0,135.0,16.8,42.64530715356875,1818.6222222222223,0,1,0,0,0,0,0,0,1.0,18.666666666666668,8.25,27.0,0,0,0,0,0,0,4,33,5,135,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51716-6,192.168.0.111,51716,192.168.0.1,53,6,23/11/2024 10:29:25 pm,15206,4,5,31.0,287.0,29.0,0.0,7.75,14.198004554631378,287.0,0.0,57.4,128.35030190848792,20912.797579902668,591.8716296198869,1900.75,2301.0752610774944,5735.0,39.0,11634.0,3878.0,6445.184481455904,11319.0,39.0,14943.0,3735.75,2453.944630589696,6410.0,620.0,0,0,0,0,80,124,263.0540576088386,328.81757201104824,0.0,287.0,31.799999999999997,90.12435852753683,8122.400000000001,0,1,0,0,0,0,0,0,1.0,35.333333333333336,7.75,57.4,0,0,0,0,0,0,4,31,5,287,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.111-53-51717-6,192.168.0.111,51717,192.168.0.1,53,6,23/11/2024 10:29:25 pm,15508,4,5,31.0,88.0,29.0,0.0,7.75,14.198004554631378,88.0,0.0,17.6,39.3547964039963,7673.458859943255,580.3456280629352,1938.5,2330.2389822260106,6853.0,44.0,12006.0,4002.0,6731.134525471914,11774.0,44.0,14662.0,3665.5,2495.319151264356,7217.0,1455.0,0,0,0,0,80,124,257.9313902501935,322.4142378127418,0.0,88.0,11.899999999999999,28.23099163842618,796.9888888888888,0,1,0,0,0,0,0,0,1.0,13.222222222222221,7.75,17.6,0,0,0,0,0,0,4,31,5,88,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
